slug,source_C_live,source_C_last_snapshot_date,source_C_snapshot_body_len,source_C_timestamp
sellraze,True,2026-03-14 00:00:00+00:00,213.0,2026-04-24T22:50:55.255072+00:00
hillclimb,,,107.0,2026-04-24T22:50:52.494274+00:00
flick,,,107.0,2026-04-24T22:50:53.447943+00:00
nivara,,,58.0,2026-04-24T22:50:55.456954+00:00
answerthis,,,59.0,2026-04-24T22:50:55.723780+00:00
iriscal,,,58.0,2026-04-24T22:50:49.169728+00:00
sf-tensor,,,58.0,2026-04-24T22:50:56.436441+00:00
unsiloed-ai,,,61.0,2026-04-24T22:50:56.927586+00:00
allus-ai,,,53.0,2026-04-24T22:50:57.282749+00:00
atlasgrid,,,57.0,2026-04-24T22:50:52.129395+00:00
sciloop,,,56.0,2026-04-24T22:50:59.184103+00:00
semble-ai,,,61.0,2026-04-24T22:50:53.692584+00:00
logosguard,,,60.0,2026-04-24T22:51:00.579031+00:00
mod-ai,,,54.0,2026-04-24T22:50:54.206614+00:00
kestrel-ai,,,59.0,2026-04-24T22:51:00.865613+00:00
agentic-fabriq,,,66.0,2026-04-24T22:51:01.535007+00:00
logical,,,58.0,2026-04-24T22:51:02.149048+00:00
articulate,,,62.0,2026-04-24T22:51:03.990738+00:00
multifactor,True,2026-04-04 00:00:00+00:00,215.0,2026-04-24T22:50:57.638523+00:00
aleph-lab,,,56.0,2026-04-24T22:51:03.989694+00:00
captain,,,59.0,2026-04-24T22:51:05.086024+00:00
sunflower,,,64.0,2026-04-24T22:51:05.698616+00:00
bravi,,,59.0,2026-04-24T22:51:06.043091+00:00
rovr,,,62.0,2026-04-24T22:51:05.969657+00:00
complydo,,,61.0,2026-04-24T22:51:06.932556+00:00
casey,True,2026-03-11 00:00:00+00:00,214.0,2026-04-24T22:51:10.560267+00:00
tensr,,,55.0,2026-04-24T22:51:00.966785+00:00
compyle,True,2026-02-14 00:00:00+00:00,209.0,2026-04-24T22:51:09.369244+00:00
redapto,,,61.0,2026-04-24T22:51:04.227335+00:00
inspector,,,65.0,2026-04-24T22:51:11.124559+00:00
thesis,,,58.0,2026-04-24T22:51:11.120954+00:00
